"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"C47,C75,C38,C71,C65,C66,C63,C56,C67,C68,C54,C46,C70,C60";"C_0603_1608";14;"100nF";;;
2;"U10";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q80DVS";;;
3;"RT2";"R_0603_1608Metric";1;"10k";;;
4;"R44,R117,R21,R109,R43,R113,R37,R50,R94,R34,R93,R49,R31,RT1,R33,R35,R36,R32,R48";"R_0603_1608";19;"10k";;;
5;"D5,D7,D19,D6";"D_SOT-23_ANK";4;"12V";;;
6;"D20";"D_SOT-23_ANK";1;"47V";;;
7;"C37,C40,C41,C57,C58,C39,C64,C72,C59";"C_0603_1608";9;"10nF";;;
8;"U12";"SOT-23-6";1;"LMR16006X";;;
9;"T10,T2,T1,T4,T3";"SOT-23";5;"BC846B";;;
10;"R114,R57,R40,R22,R110,R25,R107,R108,R82,R28,R51,R27,R26,R23,R56,R29,R116,R24";"R_0603_1608";18;"1k";;;
11;"R112,R74,R101,R92,R77,R75,R115";"R_0603_1608";7;"100k";;;
12;"R30";"R_0603_1608";1;"33k";;;
13;"L5";"Bourns_SRN6045TA";1;"47µH";;;
14;"D21,D18";"D_SOD-123";2;"1N4148";;;
15;"C79";"C_0603_1608";1;"4.7µF";;;
16;"C78";"C_0603_1608";1;"1µF";;;
17;"C77,C76";"C_0805_2012";2;"10µF";;;
18;"C74";"C_1210_3225";1;"4.7µF";;;
19;"C73,C45";"C_0805_2012";2;"1µF";;;
20;"R58,R5";"R_1206_3216";2;"120";;;
21;"R20,R14,R3,R4,R16,R18,R19,R17,R15,R70";"R_0603_1608";10;"330k";;;
22;"Q15,Q10,Q5,Q4,Q6,Q8,Q7";"SOT-23";7;"BSS138";;;
23;"D14,D13";"D_SOD-123";2;"NRVTS260ESFT1G";;;
24;"R6,R12,R8,R10,R7,R11,R9";"R_2010_5025";7;"33";;;
25;"Q2,Q9,Q3";"SOT-23";3;"NDS0605";;;
26;"R84,R89,R87,R83";"R_0805_2012";4;"3R3";;;
27;"TP25,TP15,TP19,TP27,TP18,TP20,TP12,TP10,TP11,TP9,TP14,TP7,TP6,TP17,TP24,TP22,TP21,TP16,TP13,TP23,TP8,TP26";"TestPoint_Pad_D1.5mm";22;"1.5mm";;;
28;"U6,U4";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"TCAN334";;;
29;"Y2,Y1";"Resonator_Murata_CSTNE";2;"8MHz";;;
30;"R103,R100,R98,R99";"R_0603_1608";4;"47R";;;
31;"P6,P5";"PinHeader_1x02_P2.54mm_Vertical";2;"CONN_01X02";;;
32;"C24,C20,C26,C22,C30,C28,C29,C27,C34,C18,C19,C21,C23";"C_0603_1608";13;"100n";;;
33;"R39";"R_0603_1608";1;"4R7";;;
34;"R90,R76,R97,R1,R106,R105,R102,R2,R41,R54,R55";"R_0603_1608";11;"2.2k";;;
35;"R86,R85";"R_1206_3216";2;"4R7";;;
36;"L4";"L_0805_2012Metric";1;"4.7µH";;;
37;"C61,C62,C69,C50";"C_0603_1608";4;"2.2µF";;;
38;"LED4,LED3";"LED_Avago_PLCC4_3.2x2.8mm_CW";2;"LED_Dual_PLCC4";;;
39;"TP3";"TestPoint_1mm_pad";1;"SDA";;;
40;"C16,C15,C31";"C_0603_1608";3;"4.7n";;;
41;"C5,C8,C4,C6,C9,C2,C3,C7";"C_0603_1608";8;"47n";;;
42;"J10,J2";"Box_Header_2x05x2.54mm_Straight";2;"UEXT";;;
43;"Q11,Q12,Q13,Q14";"5X6_MOSFET";4;"BSC016N06NS";;;
44;"TP2";"TestPoint_1mm_pad";1;"Ext+";;;
45;"U1";"QFN-48-1EP_6x6mm_P0.4mm_EP4.3x4.3mm";1;"ISL94202";;;
46;"R53,R104,R79,R62,R111,R96,R46,R67,R69";"R_0603_1608";9;"1M";;;
47;"TP5";"TestPoint_1mm_pad";1;"Regout";;;
48;"T5";"SOT-23";1;"BC856B";;;
49;"FID1,FID3,FID2";"Fiducial_0.7mm";3;"Fiducial";;;
50;"SWD2";"PinHeader_1x05_P2.54mm_Vertical";1;"ST_Nucleo_SWD";;;
51;"R38,R66,R52,R61,R68";"R_0603_1608";5;"100";;;
52;"C48,C44";"C_0603_1608";2;"1nF";;;
53;"L3";"Inductor_Toroid_D32.8mm_4mm2";1;"53µH";;;
54;"U11";"LQFP-48_7x7mm_P0.5mm";1;"STM32G431CBTx";;;
55;"C13";"C_0603_1608";1;"10n";;;
56;"MK3,MK2,MK1,MK4";"MountingHole_3.2mm_M3";4;"Mounting_Hole";;;
57;"R65,R63,R64";"R_2010_5025";3;"330";;;
58;"R95";"C_0603_1608";1;"8.2k";;;
59;"XF1,XF2";"Keystone-Fuse-3557-2";2;"Fuse_Holder";;;
60;"LED6,LED1,LED2";"LED_0603_D3.0mm";3;"LED";;;
61;"U9,U7";"SOT-363_SC-70-6";2;"INA186";;;
62;"TP1";"TestPoint_1mm_pad";1;"Bat+";;;
63;"J5";"TE_2311765-1";1;"DE9_Receptacle";;;
64;"D16,D17,D15";"D_SOD-123";3;"SS14FL";;;
65;"TP4";"TestPoint_1mm_pad";1;"SCL";;;
66;"R42,R73,R47,R71";"R_0603_1608";4;"22k";;;
67;"R60";"R_Shunt_2512";1;"0.5m";;;
68;"LOGO1";"LIBRESOLAR_LOGO";1;"LIBRE_SOLAR";;;
69;"C49";"C_0603_1608";1;"2.2nF";;;
70;"D3,D4";"D_SOD-523";2;"PMEG6002";;;
71;"C33";"C_1210_3225";1;"4.7u";;;
72;"C10";"C_0603_1608";1;"470n";;;
73;"R81,R80";"R_0603_1608";2;"10R";;;
74;"C36,C35";"C_0805_2012";2;"10u";;;
75;"D11,D12,D1";"SOT-23";3;"BAV70";;;
76;"J1,J8,J6";"Phoenix_Contact_MKDS_5-2-9,5";3;"MKDS 5/ 2-9,5";;;
77;"J7";"JST_XH_S8B-XH-A_1x08_P2.50mm_Horizontal";1;"Conn_01x08_Pin";;;
78;"L2";"Bourns_SRN6045TA";1;"47uH";;;
79;"Q18,Q19,Q17,Q16";"TO-220-3_Horizontal_BottomHeatsink";4;"IPA045N10N3G";;;
80;"JP4,JP3";"PinHeader_1x02_P2.54mm_Vertical";2;"Jumper_NC_Small";;;
81;"C11";"C_1206_3216";1;"4.7u";;;
82;"U5";"SOT-23-6";1;"TPS560430X";;;
83;"SWD1";"PinHeader_1x05_P2.54mm_Vertical";1;"ST_Nucleo_SWD_5p";;;
84;"C25";"C_0603_1608";1;"4.7u";;;
85;"LOGO3";"strategic_innovation_unit";1;"Strategic Innovation Unit";;;
86;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
87;"R45";"R_0603_1608";1;"220";;;
88;"D22";"SOT-23";1;"BAS70-04";;;
89;"D8";"SOT-23-6";1;"USBLC6-2SC6";;;
90;"Q20";"SOT-223-3_TabPin2";1;"BUK98180-100A";;;
91;"C42,C43";"CP_Radial_D18.0mm_P7.50mm";2;"560µF";;;
92;"U8";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"LM5107";;;
93;"C53,C55";"CP_Radial_D10.0mm_P5.00mm";2;"680µF";;;
94;"S1";"SW_SPST_6mm";1;"SW_PUSH";;;
95;"D10,D9";"D_SMC";2;"SMCJ36A";;;
96;"U2";"SOT-23-5";1;"24AA32";;;
97;"R59";"R_0603_1608";1;"0R";;;
98;"L1";"L_0805_2012Metric";1;"4.7uH";;;
99;"C52,C51";"C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";2;"0.22µF";;;
100;"C14,C17,C32,C12";"C_0603_1608";4;"1u";;;
101;"R72";"R_0603_1608";1;"50.5k";;;
102;"LOGO2";"cranfield_logo";1;"Cranfield University";;;
103;"J3";"USB_Micro-B_10103594-0001LF";1;"USB_B_Micro";;;
104;"U3";"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm";1;"STM32L452CCU6";;;
105;"R78";"R_0603_1608";1;"5.6k";;;
106;"R91,R88";"R_Bourns_CRE2512";2;"2m";;;
107;"F2";"Fuse_1206_3216Metric";1;"500mA";;;
108;"RV1";"RV_Disc_D12mm_W4.3mm_P7.5mm";1;"82V";;;
109;"D2";"D_PowerDI-123";1;"SS16FP";;;
